key,variable,level,unit,overall,overall_se,no_opioid,no_opioid_se,any_opioid,any_opioid_se,standardized_difference,unweighted_n,suppressed
DESC_PHYSICAL_HEALTH_3_FAIR_POOR,Physical health,fair_poor,proportion,0.20378128138108975,0.007970999542411978,0.19604189464854388,0.00834073957676304,0.2408060611709034,0.019747724740672472,0.11113021807373397,1042,FALSE
DESC_MENTAL_HEALTH_3_EXCELLENT_VERY_GOOD,Mental health,excellent_very_good,proportion,0.648625435389274,0.009281837260430663,0.6531702251333507,0.010159219252353658,0.6268834233564823,0.02282499955591542,-0.05506245900041268,2794,FALSE
DESC_MENTAL_HEALTH_3_GOOD,Mental health,good,proportion,0.25847572865261986,0.008548906233491589,0.2547878304057528,0.009371966021140817,0.2761184211806074,0.0212375939306142,0.04872258414893884,1185,FALSE
DESC_MENTAL_HEALTH_3_FAIR_POOR,Mental health,fair_poor,proportion,0.09289883595810611,0.00566691131179626,0.09204194446089653,0.006157579301356729,0.09699815546291035,0.01247068472319414,0.01707327317589491,475,FALSE
DESC_WALK_LIMITATION_NO,Walking limitation,no,proportion,0.7412623031778712,0.008620076787629506,0.7606849874459874,0.009059582680659302,0.6483453017661163,0.02252793652977126,-0.25651773298153463,3133,FALSE
DESC_WALK_LIMITATION_YES,Walking limitation,yes,proportion,0.2587376968221287,0.008620076787629508,0.23931501255401247,0.009059582680659303,0.3516546982338838,0.02252793652977126,0.25651773298153496,1321,FALSE
DESC_CANCER_Y1_NO,Cancer diagnosis,no,proportion,0.7347507531985947,0.008796115489112485,0.7206432256123092,0.009738401753854558,0.802240351575225,0.0184444603310223,0.18483225520517774,3228,FALSE
DESC_CANCER_Y1_YES,Cancer diagnosis,yes,proportion,0.26524924680140527,0.008796115489112485,0.27935677438769074,0.009738401753854556,0.197759648424775,0.0184444603310223,-0.18483225520517763,1226,FALSE
DESC_HIGHEST_SURGERY_SETTING_OFFICE_BASED,Highest-acuity surgery setting,office_based,proportion,0.4467000917833051,0.009711418485003448,0.5013906021014773,0.011281493617839814,0.1850638444812182,0.017588735917740513,-0.6362790293317384,1929,FALSE
DESC_HIGHEST_SURGERY_SETTING_OUTPATIENT,Highest-acuity surgery setting,outpatient,proportion,0.27968586513605187,0.008695556247370579,0.2656597480828701,0.009375043325235888,0.34678600021734635,0.01952657392494065,0.18074453931314619,1242,FALSE
DESC_HIGHEST_SURGERY_SETTING_EMERGENCY_ROOM,Highest-acuity surgery setting,emergency_room,proportion,0.041183921802349956,0.003949256738432509,0.04410704766369764,0.00468023006292214,0.027199856261448104,0.005222075695954144,-0.08508244563764472,193,FALSE
DESC_HIGHEST_SURGERY_SETTING_INPATIENT,Highest-acuity surgery setting,inpatient,proportion,0.23243012127829302,0.007864823101838742,0.18884260215195486,0.008133189861162897,0.44095029903998734,0.02129188570511507,0.5968716325631858,1090,FALSE
DESC_PANEL_X22,MEPS panel,22,proportion,0.257529134347134,0.009258542213563961,0.249902353789392,0.010010389795991365,0.294015212690804,0.019492226459541368,0.10088168148966999,1497,FALSE
DESC_PANEL_X23,MEPS panel,23,proportion,0.2530473841786178,0.008817299220233072,0.2463672761130446,0.009621856360348497,0.28500463591536435,0.01810080983527327,0.08887098421263584,1480,FALSE
DESC_PANEL_X25,MEPS panel,25,proportion,0.23467034518214266,0.011051019505493243,0.24162088629250417,0.012069634718880824,0.20141935735529068,0.021980450058119664,-0.0948613265410297,645,FALSE
DESC_PANEL_X26,MEPS panel,26,proportion,0.2547531362921056,0.012422207404355986,0.26210948380505916,0.013527649959103853,0.219560794038541,0.022020198394497387,-0.09765092081268013,832,FALSE
DESC_SURGICAL_EVENT_COUNT_MEAN,Year-1 surgical events,mean,mean,2.0911451998529365,0.047657573434915265,2.0603837269293814,0.05095385059269927,2.2383063122722766,0.1070294041081418,0.078372667848897,4454,FALSE
