key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M1_COEF_regionsouth,M1,regionsouth,0.09212007026394471,0.09113139299815423,-0.08732627488333812,0.27156641541122756,0.3131509770846886,1.0964964707977738,0.916378055707977,1.3120180071783742,261,TRUE
M1_COEF_regionwest,M1,regionwest,-0.10280379678656086,0.12775075248973378,-0.35435712950651804,0.1487495359333963,0.4218113653699268,0.9023039910577845,0.7016243518484249,1.160382318734985,261,TRUE
M1_COEF_poverty_2below_200_fpl,M1,poverty_2below_200_fpl,0.26357761491190923,0.09447566987303041,0.07754607181457135,0.4496091580092471,0.00571462782148706,1.3015783129074423,1.080632017989649,1.56769934300356,261,TRUE
M1_COEF_insurance_modelno_private,M1,insurance_modelno_private,0.07620728025177717,0.09439911178198168,-0.10967351271239392,0.2620880732159483,0.42033457329273327,1.079186244971784,0.8961266615039517,1.2996410009514747,261,TRUE
M1_COEF_log1p.ERTOTY1.,M1,log1p(ERTOTY1),0.8148714464167309,0.0926810307428388,0.6323737177622131,0.9973691750712488,3.4946308368695715e-16,2.258885265888582,1.882072790767006,2.7111399035576462,261,TRUE
M1_COEF_log1p.IPDISY1.,M1,log1p(IPDISY1),0.08153102677989918,0.13848670126643006,-0.19116240603383808,0.35422445959363646,0.5566213431228655,1.0849468794698187,0.8259984301284589,1.4250750223438482,261,TRUE
M1_COEF_log1p.OPTOTVY1.,M1,log1p(OPTOTVY1),0.05672448386434329,0.04916655446429459,-0.040089119130633226,0.1535380868593198,0.24981206044744036,1.058364173814766,0.9607038182480713,1.165952193733629,261,TRUE
M1_COEF_log1p.OBTOTVY1.,M1,log1p(OBTOTVY1),0.12204610488226987,0.04479746909943294,0.03383564482813248,0.21025656493640726,0.006936758326428961,1.1298061901609302,1.034414581369924,1.2339946190969944,261,TRUE
M1_COEF_physical_health_3good,M1,physical_health_3good,0.2814373274564489,0.11602688518406763,0.05296939999344988,0.5099052549194479,0.016053034896420848,1.3250329505339045,1.0543973800589665,1.665133424271594,261,TRUE
M1_COEF_physical_health_3fair_poor,M1,physical_health_3fair_poor,0.7721500569611153,0.11362177839135645,0.5484180125944019,0.9958821013278286,9.144896872595496e-11,2.1644148698571395,1.7305132011715754,2.707111234798506,261,TRUE
M1_COEF_mental_health_3good,M1,mental_health_3good,-0.09019499449881521,0.10743622263049059,-0.3017470936515387,0.12135710465390825,0.40204861830975847,0.9137529910918116,0.7395250718264256,1.1290280215478654,261,TRUE
M1_COEF_mental_health_3fair_poor,M1,mental_health_3fair_poor,0.09290025194922313,0.14216706946361482,-0.1870401744641234,0.3728406783625697,0.5141135889580335,1.0973522710586983,0.8294104145971211,1.4518530098064948,261,TRUE
M1_COEF_walk_limitationyes,M1,walk_limitationyes,0.1224605080883764,0.09456657101156456,-0.06375002796125849,0.3086710441380113,0.1966303081129253,1.130274482492632,0.9382395038613536,1.3616143857898892,261,TRUE
M1_COEF_cancer_y1yes,M1,cancer_y1yes,-0.03366733968371648,0.08684086029452949,-0.20466521952096128,0.1373305401535283,0.6986039459204436,0.9668930981076771,0.8149200900873537,1.1472072839289669,261,TRUE
M1_COEF_surgery_inpatient,M1,surgery_inpatient,-0.15685963341666448,0.13343965752962142,-0.4196149590362416,0.10589569220291262,0.24100619907540147,0.8548240391266003,0.6572998584677899,1.1117059108640044,261,TRUE
M1_COEF_surgery_emergency_room,M1,surgery_emergency_room,-0.11365277409933841,0.13918874276667853,-0.3877285931272736,0.1604230449285968,0.41503791601992435,0.8925678247488968,0.6785964940253691,1.174007423839113,261,TRUE
M1_COEF_surgery_outpatient,M1,surgery_outpatient,-0.12511075845841826,0.10412732482316167,-0.33014732439633554,0.07992580747949898,0.230786431323008,0.8823991640008936,0.7188178262284359,1.083206698858401,261,TRUE
M1_COEF_surgery_office_based,M1,surgery_office_based,-0.12110272327918474,0.12663108963451067,-0.37045133377821604,0.1282458872198466,0.3399032166167786,0.8859429479536642,0.690422649243626,1.1368325009162137,261,TRUE
M1_COEF_log1p.surgical_event_count.,M1,log1p(surgical_event_count),0.18024951787758978,0.10357224194886208,-0.02369403730113795,0.3841930730563175,0.08313917292352241,1.1975161275292503,0.9765844624697897,1.4684289283754741,261,TRUE
M1_COEF_PANEL23,M1,PANEL23,0.047924793870790516,0.09118007564788518,-0.13161741202522992,0.22746699976681095,0.5996683581457896,1.0490917542275635,0.8766763367506437,1.2554160100494565,261,TRUE
M1_COEF_PANEL25,M1,PANEL25,-0.10890981869231309,0.11595177643865091,-0.3372298499209826,0.11941021253635642,0.3485783963926117,0.8968112894664432,0.7137447668690889,1.1268320641319383,261,TRUE
M1_COEF_PANEL26,M1,PANEL26,0.021377092739160847,0.11998521678673965,-0.21488516459866916,0.25763935007699085,0.8587506990580905,1.021607219675743,0.8066340650055025,1.293872099595103,261,TRUE
M2_COEF_X.Intercept.,M2,(Intercept),-2.305258886397078,0.2550994035870709,-2.807573776106694,-1.802943996687462,6.929720381397326e-17,0.09973297779987758,0.06035124052702999,0.16481296447213847,261,TRUE
M2_COEF_opioid_binaryany_opioid,M2,opioid_binaryany_opioid,-0.07157937057849348,0.12982170956034658,-0.32721061393991224,0.1840518727829253,0.581919885563027,0.9309223868141496,0.7209318887303586,1.202078176619377,261,TRUE
M2_COEF_ns.AGEY1X..3.1,M2,"ns(AGEY1X, 3)1",-0.018770138643983504,0.1527502030782195,-0.31954975762168186,0.2820094803337148,0.9023088944594801,0.9814049233844083,0.7264760537560164,1.325791288871068,261,TRUE
